Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,4,4,3,4,3,2,3,3,2,2,2,3,2,4,0,1,1,2,2,1,1,1,2,2,2,2,2,2,2
Bos Played,0,4,5,4,4,3,3,3,5,4,4,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,0,0,0,2,3,3,1,3,1,0,3,1,2,2,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1
Bro Played,4,0,4,4,4,3,4,4,3,3,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nyk Win,1,4,0,3,4,3,2,3,1,2,2,4,2,1,3,1,1,0,2,1,1,1,1,1,2,0,1,2,0,1
Nyk Played,5,4,0,4,4,4,3,3,3,5,3,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Phi Win,1,2,1,0,4,1,2,4,1,0,2,4,2,3,4,1,1,2,1,1,0,1,1,1,1,1,2,1,0,2
Phi Played,4,4,4,0,4,3,4,4,3,3,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tor Win,0,1,0,0,0,2,1,1,2,2,2,3,1,0,3,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1
Tor Played,4,4,4,4,0,4,3,3,4,3,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chi Win,0,0,1,2,2,0,1,2,3,1,2,4,2,0,2,0,2,0,2,2,1,0,1,0,1,0,1,2,2,3
Chi Played,3,3,4,3,4,0,4,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Cle Win,1,3,1,2,2,3,0,4,2,2,3,1,1,2,4,1,1,0,1,2,2,1,0,0,1,2,1,2,1,2
Cle Played,3,4,3,4,3,4,0,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Det Win,0,1,0,0,2,2,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Det Played,3,4,3,4,3,4,4,0,4,4,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
Ind Win,2,2,2,2,2,1,2,4,0,4,3,2,2,1,2,0,0,2,0,1,1,1,1,1,1,2,2,1,1,1
Ind Played,5,3,3,3,4,4,4,4,0,5,3,4,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
Mil Win,2,3,3,3,1,3,2,4,1,0,2,4,2,2,2,1,1,1,1,0,1,2,0,1,1,2,1,0,1,2
Mil Played,4,3,5,3,3,4,4,4,5,0,3,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Atl Win,2,1,1,2,2,1,1,3,0,1,0,1,1,3,3,0,1,1,1,1,1,1,1,1,0,0,2,1,1,2
Atl Played,4,4,3,4,4,3,4,3,4,3,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cha Win,1,2,0,0,1,0,2,0,2,0,3,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,2,0,1
Cha Played,3,3,4,4,4,4,3,3,4,4,4,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mia Win,0,2,1,2,3,2,3,4,1,1,3,4,0,3,3,0,0,0,2,1,1,0,2,0,2,0,2,1,1,2
Mia Played,3,4,3,4,4,4,4,4,3,3,4,4,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Orl Win,1,2,3,0,3,4,2,4,2,2,1,3,1,0,4,2,1,0,2,2,0,0,1,1,0,0,1,1,2,2
Orl Played,3,4,4,3,3,4,4,4,3,4,4,4,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Was Win,0,1,0,0,1,1,0,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
Was Played,4,4,3,4,4,3,4,4,3,3,4,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
